test_set,layer1_version,n,f1,precision,recall,fpr,detection_rate,fp,fn,tp,tn,blocked_by_l1,blocked_by_l2,blocked_by_l3,avg_latency_ms,p99_latency_ms
standard,v1,263,0.9962,0.9924,1.0,0.0076,1.0,1,0,131,131,26,68,38,14.195,29.319
standard,v2,263,0.9962,0.9924,1.0,0.0076,1.0,1,0,131,131,18,73,41,14.07,23.402
standard,v3,263,0.9962,0.9924,1.0,0.0076,1.0,1,0,131,131,17,73,42,48.71,152.61
evasion,v1,150,,,,0.0,1.0,0,0,150,0,11,139,0,6.282,10.909
evasion,v2,150,,,,0.0,1.0,0,0,150,0,11,139,0,6.179,10.71
evasion,v3,150,,,,0.0,1.0,0,0,150,0,11,139,0,6.184,10.457
adversarial,v1,200,,,,0.55,,110,0,0,90,88,3,19,10.971,29.315
adversarial,v2,200,,,,0.38,,76,0,0,124,41,6,29,16.36,31.618
adversarial,v3,200,,,,0.265,,53,0,0,147,6,7,40,15.232,25.004
ood,v1,170,,,,0.1412,,24,0,0,146,0,0,24,15.664,25.334
ood,v2,170,,,,0.1412,,24,0,0,146,0,0,24,15.819,25.457
ood,v3,170,,,,0.1412,,24,0,0,146,0,0,24,19.68,28.387
